Season,Team,Opening Day 26-man Payroll
2024,Chicago White Sox,123089383
2023,Chicago White Sox,181158666
2022,Chicago White Sox,193370219
2021,Chicago White Sox,128716666
2020,Chicago White Sox,50204444
2019,Chicago White Sox,88902000
2018,Chicago White Sox,71217000
2017,Chicago White Sox,97823271
2016,Chicago White Sox,114498667
2015,Chicago White Sox,118619378
2014,Chicago White Sox,90062659
2013,Chicago White Sox,118914500
2012,Chicago White Sox,97669500
2011,Chicago White Sox,127789000
2010,Chicago White Sox,103080000
2009,Chicago White Sox,96068500
2008,Chicago White Sox,121189332
2007,Chicago White Sox,108671833
2006,Chicago White Sox,102750667
2005,Chicago White Sox,75178000
2004,Chicago White Sox,65212500
2003,Chicago White Sox,51010000
2002,Chicago White Sox,57052833
2001,Chicago White Sox,65628667
2000,Chicago White Sox,31200000
2024,Cleveland Guardians,98283529
2023,Cleveland Guardians,89424629
2022,Cleveland Guardians,68238900
2021,Cleveland Guardians,49694300
2020,Cleveland Guardians,36186740
2019,Cleveland Guardians,119575032
2018,Cleveland Guardians,134851565
2017,Cleveland Guardians,124116166
2016,Cleveland Guardians,96304400
2015,Cleveland Guardians,87997101
2014,Cleveland Guardians,85416235
2013,Cleveland Guardians,80605733
2012,Cleveland Guardians,65430300
2011,Cleveland Guardians,49426567
2010,Cleveland Guardians,61453967
2009,Cleveland Guardians,81579166
2008,Cleveland Guardians,78970066
2007,Cleveland Guardians,61673267
2006,Cleveland Guardians,56031500
2005,Cleveland Guardians,41502500
2004,Cleveland Guardians,34319300
2003,Cleveland Guardians,48584834
2002,Cleveland Guardians,78909499
2001,Cleveland Guardians,93360000
2000,Cleveland Guardians,76500000
2024,Detroit Tigers,97684833
2023,Detroit Tigers,122235500
2022,Detroit Tigers,135043500
2021,Detroit Tigers,80866200
2020,Detroit Tigers,43442519
2019,Detroit Tigers,115118500
2018,Detroit Tigers,125286000
2017,Detroit Tigers,199750600
2016,Detroit Tigers,198593000
2015,Detroit Tigers,172792250
2014,Detroit Tigers,163635500
2013,Detroit Tigers,148693600
2012,Detroit Tigers,133995400
2011,Detroit Tigers,106953000
2010,Detroit Tigers,133995400
2009,Detroit Tigers,115085145
2008,Detroit Tigers,137685196
2007,Detroit Tigers,95180369
2006,Detroit Tigers,82612866
2005,Detroit Tigers,69092000
2004,Detroit Tigers,46832000
2003,Detroit Tigers,49168000
2002,Detroit Tigers,55048000
2001,Detroit Tigers,49456167
2000,Detroit Tigers,61700000
2024,Kansas City Royals,115357261
2023,Kansas City Royals,92468100
2022,Kansas City Royals,94832900
2021,Kansas City Royals,88946700
2020,Kansas City Royals,34199019
2019,Kansas City Royals,96565066
2018,Kansas City Royals,122233117
2017,Kansas City Royals,143005817
2016,Kansas City Royals,131487125
2015,Kansas City Royals,112857025
2014,Kansas City Royals,92185521
2013,Kansas City Royals,81871725
2012,Kansas City Royals,64001725
2011,Kansas City Royals,38176000
2010,Kansas City Royals,74985210
2009,Kansas City Royals,70519333
2008,Kansas City Royals,58245500
2007,Kansas City Royals,67166500
2006,Kansas City Royals,47294000
2005,Kansas City Royals,36881000
2004,Kansas City Royals,47609000
2003,Kansas City Royals,40518000
2002,Kansas City Royals,47257000
2001,Kansas City Royals,35422500
2000,Kansas City Royals,23100000
2024,Minnesota Twins,127317590
2023,Minnesota Twins,153713740
2022,Minnesota Twins,134408190
2021,Minnesota Twins,125277666
2020,Minnesota Twins,45620603
2019,Minnesota Twins,119651933
2018,Minnesota Twins,128713226
2017,Minnesota Twins,108102500
2016,Minnesota Twins,105333700
2015,Minnesota Twins,108262500
2014,Minnesota Twins,85465000
2013,Minnesota Twins,82010000
2012,Minnesota Twins,100435000
2011,Minnesota Twins,113237000
2010,Minnesota Twins,97659167
2009,Minnesota Twins,65299266
2008,Minnesota Twins,56932766
2007,Minnesota Twins,71439500
2006,Minnesota Twins,63396006
2005,Minnesota Twins,56186000
2004,Minnesota Twins,53585000
2003,Minnesota Twins,55505000
2002,Minnesota Twins,40225000
2001,Minnesota Twins,24130000
2000,Minnesota Twins,15700000
2024,Baltimore Orioles,92970900
2023,Baltimore Orioles,60872400
2022,Baltimore Orioles,43718167
2021,Baltimore Orioles,57046232
2020,Baltimore Orioles,23770983
2019,Baltimore Orioles,80239882
2018,Baltimore Orioles,148574615
2017,Baltimore Orioles,164326172
2016,Baltimore Orioles,147693713
2015,Baltimore Orioles,118975833
2014,Baltimore Orioles,107976153
2013,Baltimore Orioles,92238333
2012,Baltimore Orioles,84102333
2011,Baltimore Orioles,86942583
2010,Baltimore Orioles,73812500
2009,Baltimore Orioles,67101666
2008,Baltimore Orioles,67196246
2007,Baltimore Orioles,93554808
2006,Baltimore Orioles,72585582
2005,Baltimore Orioles,73914333
2004,Baltimore Orioles,51623333
2003,Baltimore Orioles,73877500
2002,Baltimore Orioles,60493487
2001,Baltimore Orioles,74279540
2000,Baltimore Orioles,83100000
2024,Boston Red Sox,171242167
2023,Boston Red Sox,181207484
2022,Boston Red Sox,206553059
2021,Boston Red Sox,180147694
2020,Boston Red Sox,73931812
2019,Boston Red Sox,236171429
2018,Boston Red Sox,233752429
2017,Boston Red Sox,197041179
2016,Boston Red Sox,197899679
2015,Boston Red Sox,184345996
2014,Boston Red Sox,156350125
2013,Boston Red Sox,154555500
2012,Boston Red Sox,175249119
2011,Boston Red Sox,163822475
2010,Boston Red Sox,168109833
2009,Boston Red Sox,121745999
2008,Boston Red Sox,133390035
2007,Boston Red Sox,143026214
2006,Boston Red Sox,120099824
2005,Boston Red Sox,123505125
2004,Boston Red Sox,127298500
2003,Boston Red Sox,99946500
2002,Boston Red Sox,108366060
2001,Boston Red Sox,110035883
2000,Boston Red Sox,81200000
2024,New York Yankees,296672047
2023,New York Yankees,277749872
2022,New York Yankees,245963214
2021,New York Yankees,197675220
2020,New York Yankees,108115350
2019,New York Yankees,203897446
2018,New York Yankees,166111632
2017,New York Yankees,196389700
2016,New York Yankees,225997792
2015,New York Yankees,217758571
2014,New York Yankees,197230609
2013,New York Yankees,228106125
2012,New York Yankees,209792900
2011,New York Yankees,207047964
2010,New York Yankees,213359389
2009,New York Yankees,201449189
2008,New York Yankees,209081577
2007,New York Yankees,189639045
2006,New York Yankees,194663079
2005,New York Yankees,208306817
2004,New York Yankees,184193750
2003,New York Yankees,152749814
2002,New York Yankees,125928583
2001,New York Yankees,112287143
2000,New York Yankees,107588459
2024,Tampa Bay Rays,98873112
2023,Tampa Bay Rays,73184812
2022,Tampa Bay Rays,83857113
2021,Tampa Bay Rays,66714834
2020,Tampa Bay Rays,28773481
2019,Tampa Bay Rays,60084133
2018,Tampa Bay Rays,76388930
2017,Tampa Bay Rays,70064700
2016,Tampa Bay Rays,66681991
2015,Tampa Bay Rays,75794234
2014,Tampa Bay Rays,76872384
2013,Tampa Bay Rays,61928975
2012,Tampa Bay Rays,63627200
2011,Tampa Bay Rays,42171308
2010,Tampa Bay Rays,72847133
2009,Tampa Bay Rays,63313034
2008,Tampa Bay Rays,43745597
2007,Tampa Bay Rays,24123500
2006,Tampa Bay Rays,35417967
2005,Tampa Bay Rays,29679067
2004,Tampa Bay Rays,29556667
2003,Tampa Bay Rays,19630000
2002,Tampa Bay Rays,34380000
2001,Tampa Bay Rays,56980000
2000,Tampa Bay Rays,64400000
2024,Toronto Blue Jays,225362600
2023,Toronto Blue Jays,209938983
2022,Toronto Blue Jays,171040621
2021,Toronto Blue Jays,135223171
2020,Toronto Blue Jays,51538089
2019,Toronto Blue Jays,114546171
2018,Toronto Blue Jays,162037223
2017,Toronto Blue Jays,163381937
2016,Toronto Blue Jays,136782027
2015,Toronto Blue Jays,125915800
2014,Toronto Blue Jays,137177700
2013,Toronto Blue Jays,119277800
2012,Toronto Blue Jays,83739200
2011,Toronto Blue Jays,70567800
2010,Toronto Blue Jays,78689357
2009,Toronto Blue Jays,80538300
2008,Toronto Blue Jays,97973900
2007,Toronto Blue Jays,81942800
2006,Toronto Blue Jays,71915000
2005,Toronto Blue Jays,45719500
2004,Toronto Blue Jays,50071000
2003,Toronto Blue Jays,51269000
2002,Toronto Blue Jays,76864333
2001,Toronto Blue Jays,76896000
2000,Toronto Blue Jays,46363332
2024,Houston Astros,235723766
2023,Houston Astros,179883900
2022,Houston Astros,174529000
2021,Houston Astros,187648656
2020,Houston Astros,76971626
2019,Houston Astros,158053000
2018,Houston Astros,160393900
2017,Houston Astros,124343900
2016,Houston Astros,96893700
2015,Houston Astros,72464200
2014,Houston Astros,50485800
2013,Houston Astros,26105600
2012,Houston Astros,60799000
2011,Houston Astros,76969000
2010,Houston Astros,92605500
2009,Houston Astros,102996414
2008,Houston Astros,88930414
2007,Houston Astros,87759000
2006,Houston Astros,92551503
2005,Houston Astros,76779000
2004,Houston Astros,75397000
2003,Houston Astros,71040000
2002,Houston Astros,63448417
2001,Houston Astros,60897667
2000,Houston Astros,52400000
2024,Los Angeles Angels,169793096
2023,Los Angeles Angels,212228096
2022,Los Angeles Angels,188613096
2021,Los Angeles Angels,181966096
2020,Los Angeles Angels,71248265
2019,Los Angeles Angels,158878583
2018,Los Angeles Angels,166649999
2017,Los Angeles Angels,166375833
2016,Los Angeles Angels,164673333
2015,Los Angeles Angels,146341583
2014,Los Angeles Angels,154546500
2013,Los Angeles Angels,137271250
2012,Los Angeles Angels,151381000
2011,Los Angeles Angels,141755666
2010,Los Angeles Angels,121113867
2009,Los Angeles Angels,112869000
2008,Los Angeles Angels,119216333
2007,Los Angeles Angels,109251333
2006,Los Angeles Angels,103472000
2005,Los Angeles Angels,97725322
2004,Los Angeles Angels,100534667
2003,Los Angeles Angels,79031667
2002,Los Angeles Angels,61721667
2001,Los Angeles Angels,47735167
2000,Los Angeles Angels,55800000
2024,Oakland Athletics,61305000
2023,Oakland Athletics,56895000
2022,Oakland Athletics,47789487
2021,Oakland Athletics,83837833
2020,Oakland Athletics,35363741
2019,Oakland Athletics,92178833
2018,Oakland Athletics,65985833
2017,Oakland Athletics,81738333
2016,Oakland Athletics,86806234
2015,Oakland Athletics,83889167
2014,Oakland Athletics,82320900
2013,Oakland Athletics,61964500
2012,Oakland Athletics,52873000
2011,Oakland Athletics,67094000
2010,Oakland Athletics,58304900
2009,Oakland Athletics,62310000
2008,Oakland Athletics,47967126
2007,Oakland Athletics,79366940
2006,Oakland Athletics,62242079
2005,Oakland Athletics,55425762
2004,Oakland Athletics,59425667
2003,Oakland Athletics,50260834
2002,Oakland Athletics,40004167
2001,Oakland Athletics,33810750
2000,Oakland Athletics,32121833
2024,Seattle Mariners,139638647
2023,Seattle Mariners,137455661
2022,Seattle Mariners,103901114
2021,Seattle Mariners,73414600
2020,Seattle Mariners,54026835
2019,Seattle Mariners,146498472
2018,Seattle Mariners,157903943
2017,Seattle Mariners,154318843
2016,Seattle Mariners,142330193
2015,Seattle Mariners,123225843
2014,Seattle Mariners,90239643
2013,Seattle Mariners,84199643
2012,Seattle Mariners,84928100
2011,Seattle Mariners,94623191
2010,Seattle Mariners,91143333
2009,Seattle Mariners,98904166
2008,Seattle Mariners,117666482
2007,Seattle Mariners,106460833
2006,Seattle Mariners,87959833
2005,Seattle Mariners,87754334
2004,Seattle Mariners,81515834
2003,Seattle Mariners,86959167
2002,Seattle Mariners,80282668
2001,Seattle Mariners,74720833
2000,Seattle Mariners,59200000
2024,Texas Rangers,224974524
2023,Texas Rangers,195869490
2022,Texas Rangers,142243833
2021,Texas Rangers,94741250
2020,Texas Rangers,65007408
2019,Texas Rangers,118274435
2018,Texas Rangers,133137626
2017,Texas Rangers,165348063
2016,Texas Rangers,158955390
2015,Texas Rangers,141733540
2014,Texas Rangers,133525939
2013,Texas Rangers,125340100
2012,Texas Rangers,120836000
2011,Texas Rangers,92124290
2010,Texas Rangers,64810570
2009,Texas Rangers,68178798
2008,Texas Rangers,67712326
2007,Texas Rangers,68318675
2006,Texas Rangers,68228662
2005,Texas Rangers,55849000
2004,Texas Rangers,55050417
2003,Texas Rangers,103491667
2002,Texas Rangers,105726122
2001,Texas Rangers,87819000
2000,Texas Rangers,70900000
2024,Chicago Cubs,214430500
2023,Chicago Cubs,184219250
2022,Chicago Cubs,143403500
2021,Chicago Cubs,147825000
2020,Chicago Cubs,73428704
2019,Chicago Cubs,203079488
2018,Chicago Cubs,182406139
2017,Chicago Cubs,172199881
2016,Chicago Cubs,171611834
2015,Chicago Cubs,120337385
2014,Chicago Cubs,92677368
2013,Chicago Cubs,106837810
2012,Chicago Cubs,109316000
2011,Chicago Cubs,134004000
2010,Chicago Cubs,144359000
2009,Chicago Cubs,134809000
2008,Chicago Cubs,118345833
2007,Chicago Cubs,99670332
2006,Chicago Cubs,94424499
2005,Chicago Cubs,87032933
2004,Chicago Cubs,90560000
2003,Chicago Cubs,79868333
2002,Chicago Cubs,75690833
2001,Chicago Cubs,64715833
2000,Chicago Cubs,62100000
2024,Cincinnati Reds,90365833
2023,Cincinnati Reds,82890000
2022,Cincinnati Reds,114057500
2021,Cincinnati Reds,122277155
2020,Cincinnati Reds,55446457
2019,Cincinnati Reds,126673214
2018,Cincinnati Reds,101337500
2017,Cincinnati Reds,95375786
2016,Cincinnati Reds,89871228
2015,Cincinnati Reds,115373953
2014,Cincinnati Reds,114170439
2013,Cincinnati Reds,106855533
2012,Cincinnati Reds,87826167
2011,Cincinnati Reds,80826667
2010,Cincinnati Reds,76151500
2009,Cincinnati Reds,73558500
2008,Cincinnati Reds,74117695
2007,Cincinnati Reds,68904980
2006,Cincinnati Reds,60909519
2005,Cincinnati Reds,61892583
2004,Cincinnati Reds,46615250
2003,Cincinnati Reds,59355667
2002,Cincinnati Reds,45050390
2001,Cincinnati Reds,48986000
2000,Cincinnati Reds,44200000
2024,Milwaukee Brewers,104324351
2023,Milwaukee Brewers,118762027
2022,Milwaukee Brewers,131930160
2021,Milwaukee Brewers,99316127
2020,Milwaukee Brewers,39200762
2019,Milwaukee Brewers,122530400
2018,Milwaukee Brewers,90964571
2017,Milwaukee Brewers,63061300
2016,Milwaukee Brewers,63908300
2015,Milwaukee Brewers,104237000
2014,Milwaukee Brewers,103697967
2013,Milwaukee Brewers,88828333
2012,Milwaukee Brewers,98150833
2011,Milwaukee Brewers,83590833
2010,Milwaukee Brewers,90408000
2009,Milwaukee Brewers,80182502
2008,Milwaukee Brewers,80937499
2007,Milwaukee Brewers,70986500
2006,Milwaukee Brewers,57568333
2005,Milwaukee Brewers,39934833
2004,Milwaukee Brewers,27528500
2003,Milwaukee Brewers,40627000
2002,Milwaukee Brewers,50287833
2001,Milwaukee Brewers,43886883
2000,Milwaukee Brewers,35800000
2024,Pittsburgh Pirates,86421500
2023,Pittsburgh Pirates,73277500
2022,Pittsburgh Pirates,55761800
2021,Pittsburgh Pirates,45234000
2020,Pittsburgh Pirates,23739815
2019,Pittsburgh Pirates,74808000
2018,Pittsburgh Pirates,86340000
2017,Pittsburgh Pirates,95807004
2016,Pittsburgh Pirates,99945500
2015,Pittsburgh Pirates,90053000
2014,Pittsburgh Pirates,71929333
2013,Pittsburgh Pirates,66805000
2012,Pittsburgh Pirates,51932333
2011,Pittsburgh Pirates,42047000
2010,Pittsburgh Pirates,39068000
2009,Pittsburgh Pirates,48693000
2008,Pittsburgh Pirates,48689783
2007,Pittsburgh Pirates,38537823
2006,Pittsburgh Pirates,46717750
2005,Pittsburgh Pirates,38133000
2004,Pittsburgh Pirates,32227929
2003,Pittsburgh Pirates,54812429
2002,Pittsburgh Pirates,42323599
2001,Pittsburgh Pirates,57760833
2000,Pittsburgh Pirates,29600000
2024,St. Louis Cardinals,175158567
2023,St. Louis Cardinals,176587308
2022,St. Louis Cardinals,154987997
2021,St. Louis Cardinals,163542500
2020,St. Louis Cardinals,69461295
2019,St. Louis Cardinals,162620267
2018,St. Louis Cardinals,159698667
2017,St. Louis Cardinals,148152933
2016,St. Louis Cardinals,145553500
2015,St. Louis Cardinals,122066500
2014,St. Louis Cardinals,111250000
2013,St. Louis Cardinals,116790787
2012,St. Louis Cardinals,111858500
2011,St. Louis Cardinals,109048000
2010,St. Louis Cardinals,94220500
2009,St. Louis Cardinals,88528409
2008,St. Louis Cardinals,99624449
2007,St. Louis Cardinals,90286823
2006,St. Louis Cardinals,88891371
2005,St. Louis Cardinals,92106833
2004,St. Louis Cardinals,83228333
2003,St. Louis Cardinals,83786666
2002,St. Louis Cardinals,74660875
2001,St. Louis Cardinals,78538333
2000,St. Louis Cardinals,63900000
2024,Atlanta Braves,222715000
2023,Atlanta Braves,203077500
2022,Atlanta Braves,177755000
2021,Atlanta Braves,131400310
2020,Atlanta Braves,57713264
2019,Atlanta Braves,115247089
2018,Atlanta Braves,118284851
2017,Atlanta Braves,122603054
2016,Atlanta Braves,86580791
2015,Atlanta Braves,97086461
2014,Atlanta Braves,112008731
2013,Atlanta Braves,90039583
2012,Atlanta Braves,93529667
2011,Atlanta Braves,91044524
2010,Atlanta Braves,83890334
2009,Atlanta Braves,96726166
2008,Atlanta Braves,102365683
2007,Atlanta Braves,87290833
2006,Atlanta Braves,90156876
2005,Atlanta Braves,86457302
2004,Atlanta Braves,90182500
2003,Atlanta Braves,106243667
2002,Atlanta Braves,93470367
2001,Atlanta Braves,91936167
2000,Atlanta Braves,82700000
2024,Miami Marlins,92177400
2023,Miami Marlins,92575000
2022,Miami Marlins,79275000
2021,Miami Marlins,56931750
2020,Miami Marlins,41560815
2019,Miami Marlins,71903319
2018,Miami Marlins,99510143
2017,Miami Marlins,115406101
2016,Miami Marlins,74364500
2015,Miami Marlins,69031500
2014,Miami Marlins,45825400
2013,Miami Marlins,50526900
2012,Miami Marlins,101628000
2011,Miami Marlins,57695000
2010,Miami Marlins,47429719
2009,Miami Marlins,36834000
2008,Miami Marlins,21811500
2007,Miami Marlins,30507000
2006,Miami Marlins,14998500
2005,Miami Marlins,60408834
2004,Miami Marlins,42143042
2003,Miami Marlins,45050000
2002,Miami Marlins,41979917
2001,Miami Marlins,35762500
2000,Miami Marlins,19900000
2024,New York Mets,328792125
2023,New York Mets,330685945
2022,New York Mets,264498338
2021,New York Mets,195448964
2020,New York Mets,79937186
2019,New York Mets,158652231
2018,New York Mets,150558844
2017,New York Mets,154437460
2016,New York Mets,135188085
2015,New York Mets,101344283
2014,New York Mets,84951365
2013,New York Mets,93684590
2012,New York Mets,94508822
2011,New York Mets,142797166
2010,New York Mets,126498096
2009,New York Mets,149373987
2008,New York Mets,137793376
2007,New York Mets,115231663
2006,New York Mets,101084963
2005,New York Mets,101305821
2004,New York Mets,96660970
2003,New York Mets,117476429
2002,New York Mets,94633593
2001,New York Mets,93674429
2000,New York Mets,79800000
2024,Philadelphia Phillies,242468285
2023,Philadelphia Phillies,243026106
2022,Philadelphia Phillies,228740514
2021,Philadelphia Phillies,191091962
2020,Philadelphia Phillies,67306240
2019,Philadelphia Phillies,140611962
2018,Philadelphia Phillies,95270301
2017,Philadelphia Phillies,100041000
2016,Philadelphia Phillies,88646667
2015,Philadelphia Phillies,146889667
2014,Philadelphia Phillies,177729967
2013,Philadelphia Phillies,159585714
2012,Philadelphia Phillies,172093902
2011,Philadelphia Phillies,165976381
2010,Philadelphia Phillies,138178379
2009,Philadelphia Phillies,113004046
2008,Philadelphia Phillies,98269880
2007,Philadelphia Phillies,89428213
2006,Philadelphia Phillies,88273333
2005,Philadelphia Phillies,95522000
2004,Philadelphia Phillies,93219167
2003,Philadelphia Phillies,70780000
2002,Philadelphia Phillies,57965999
2001,Philadelphia Phillies,41663833
2000,Philadelphia Phillies,46900000
2024,Washington Nationals,125436867
2023,Washington Nationals,101190153
2022,Washington Nationals,135427318
2021,Washington Nationals,183122247
2020,Washington Nationals,69199277
2019,Washington Nationals,197203691
2018,Washington Nationals,180849056
2017,Washington Nationals,164335444
2016,Washington Nationals,145178886
2015,Washington Nationals,162014559
2014,Washington Nationals,137356579
2013,Washington Nationals,118289679
2012,Washington Nationals,92534929
2011,Washington Nationals,68306929
2010,Washington Nationals,66275000
2009,Washington Nationals,60328000
2008,Washington Nationals,54961000
2007,Washington Nationals,37374500
2006,Washington Nationals,63143000
2005,Washington Nationals,48581500
2004,Washington Nationals,41197500
2003,Washington Nationals,51948500
2002,Washington Nationals,38670500
2001,Washington Nationals,35159500
2000,Washington Nationals,33500000
2024,Arizona Diamondbacks,163325700
2023,Arizona Diamondbacks,116179863
2022,Arizona Diamondbacks,90636392
2021,Arizona Diamondbacks,95923700
2020,Arizona Diamondbacks,57122261
2019,Arizona Diamondbacks,123415766
2018,Arizona Diamondbacks,131565116
2017,Arizona Diamondbacks,93120200
2016,Arizona Diamondbacks,98172683
2015,Arizona Diamondbacks,88187000
2014,Arizona Diamondbacks,112315500
2013,Arizona Diamondbacks,86300500
2012,Arizona Diamondbacks,75417833
2011,Arizona Diamondbacks,56489833
2010,Arizona Diamondbacks,75484833
2009,Arizona Diamondbacks,73516666
2008,Arizona Diamondbacks,66202712
2007,Arizona Diamondbacks,52067546
2006,Arizona Diamondbacks,59684226
2005,Arizona Diamondbacks,62329166
2004,Arizona Diamondbacks,69780750
2003,Arizona Diamondbacks,80640333
2002,Arizona Diamondbacks,102819999
2001,Arizona Diamondbacks,85508000
2000,Arizona Diamondbacks,77900000
2024,Colorado Rockies,143085286
2023,Colorado Rockies,172108778
2022,Colorado Rockies,131276500
2021,Colorado Rockies,105575629
2020,Colorado Rockies,53590185
2019,Colorado Rockies,145248500
2018,Colorado Rockies,136953500
2017,Colorado Rockies,127828571
2016,Colorado Rockies,112645071
2015,Colorado Rockies,97069630
2014,Colorado Rockies,93581071
2013,Colorado Rockies,73949071
2012,Colorado Rockies,81135571
2011,Colorado Rockies,82311404
2010,Colorado Rockies,84268333
2009,Colorado Rockies,75201000
2008,Colorado Rockies,68655500
2007,Colorado Rockies,54424000
2006,Colorado Rockies,41233000
2005,Colorado Rockies,48155000
2004,Colorado Rockies,65445167
2003,Colorado Rockies,67179667
2002,Colorado Rockies,56851043
2001,Colorado Rockies,71541333
2000,Colorado Rockies,64100000
2024,Los Angeles Dodgers,308470000
2023,Los Angeles Dodgers,222617834
2022,Los Angeles Dodgers,280839078
2021,Los Angeles Dodgers,247778334
2020,Los Angeles Dodgers,94977918
2019,Los Angeles Dodgers,196279677
2018,Los Angeles Dodgers,187318213
2017,Los Angeles Dodgers,241149167
2016,Los Angeles Dodgers,249781668
2015,Los Angeles Dodgers,271608629
2014,Los Angeles Dodgers,229335934
2013,Los Angeles Dodgers,216753286
2012,Los Angeles Dodgers,105419833
2011,Los Angeles Dodgers,119771499
2010,Los Angeles Dodgers,102090283
2009,Los Angeles Dodgers,100414592
2008,Los Angeles Dodgers,118588536
2007,Los Angeles Dodgers,108454524
2006,Los Angeles Dodgers,98447187
2005,Los Angeles Dodgers,83039000
2004,Los Angeles Dodgers,92902001
2003,Los Angeles Dodgers,105872620
2002,Los Angeles Dodgers,94850953
2001,Los Angeles Dodgers,109105952
2000,Los Angeles Dodgers,90700000
2024,San Diego Padres,164538554
2023,San Diego Padres,248919895
2022,San Diego Padres,211218286
2021,San Diego Padres,174118220
2020,San Diego Padres,67427165
2019,San Diego Padres,97204100
2018,San Diego Padres,94037733
2017,San Diego Padres,69624400
2016,San Diego Padres,99284500
2015,San Diego Padres,108387033
2014,San Diego Padres,90636600
2013,San Diego Padres,68333600
2012,San Diego Padres,55621900
2011,San Diego Padres,45869140
2010,San Diego Padres,37799300
2009,San Diego Padres,43734200
2008,San Diego Padres,73677616
2007,San Diego Padres,58110567
2006,San Diego Padres,69896642
2005,San Diego Padres,63290833
2004,San Diego Padres,55384833
2003,San Diego Padres,47928000
2002,San Diego Padres,41425000
2001,San Diego Padres,38882833
2000,San Diego Padres,54900000
2024,San Francisco Giants,208150453
2023,San Francisco Giants,187932500
2022,San Francisco Giants,155431642
2021,San Francisco Giants,149511445
2020,San Francisco Giants,60900079
2019,San Francisco Giants,170179653
2018,San Francisco Giants,200505278
2017,San Francisco Giants,180822611
2016,San Francisco Giants,172086610
2015,San Francisco Giants,173179277
2014,San Francisco Giants,149089475
2013,San Francisco Giants,136908777
2012,San Francisco Giants,131355298
2011,San Francisco Giants,118198333
2010,San Francisco Giants,96277833
2009,San Francisco Giants,82616450
2008,San Francisco Giants,76594500
2007,San Francisco Giants,90219056
2006,San Francisco Giants,90056419
2005,San Francisco Giants,90199500
2004,San Francisco Giants,82019166
2003,San Francisco Giants,82852167
2002,San Francisco Giants,78299835
2001,San Francisco Giants,63280167
2000,San Francisco Giants,53541000
